# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.020040080    0.001496905    0.001496917    0.000225097
    0.040080160    0.002994934    0.002994959    0.000450242
    0.060120240    0.004495218    0.004495254    0.000675480
    0.080160321    0.005998888    0.005998937    0.000900859
    0.100200401    0.007507086    0.007507148    0.001126426
    0.120240481    0.009020967    0.009021041    0.001352228
    0.140280561    0.010541696    0.010541783    0.001578312
    0.160320641    0.012070459    0.012070558    0.001804727
    0.180360721    0.013608459    0.013608571    0.002031520
    0.200400802    0.015156925    0.015157050    0.002258738
    0.220440882    0.016717111    0.016717249    0.002486431
    0.240480962    0.018290302    0.018290452    0.002714647
    0.260521042    0.019877816    0.019877980    0.002943434
    0.280561122    0.021481010    0.021481187    0.003172844
    0.300601202    0.023101282    0.023101472    0.003402924
    0.320641283    0.024740076    0.024740280    0.003633726
    0.340681363    0.026398888    0.026399106    0.003865301
    0.360721443    0.028079269    0.028079501    0.004097699
    0.380761523    0.029782832    0.029783077    0.004330974
    0.400801603    0.031511255    0.031511515    0.004565176
    0.420841683    0.033266292    0.033266566    0.004800360
    0.440881764    0.035049774    0.035050064    0.005036580
    0.460921844    0.036863623    0.036863927    0.005273890
    0.480961924    0.038709852    0.038710172    0.005512345
    0.501002004    0.040590581    0.040590917    0.005752003
    0.521042084    0.042508043    0.042508395    0.005992920
    0.541082164    0.044464595    0.044464963    0.006235154
    0.561122244    0.046462728    0.046463113    0.006478765
    0.581162325    0.048505083    0.048505485    0.006723812
    0.601202405    0.050594463    0.050594883    0.006970357
    0.621242485    0.052733849    0.052734287    0.007218462
    0.641282565    0.054926417    0.054926873    0.007468192
    0.661322645    0.057175556    0.057176031    0.007719610
    0.681362725    0.059484893    0.059485387    0.007972783
    0.701402806    0.061858316    0.061858830    0.008227778
    0.721442886    0.064299996    0.064300531    0.008484666
    0.741482966    0.066814427    0.066814982    0.008743515
    0.761523046    0.069406452    0.069407028    0.009004398
    0.781563126    0.072081304    0.072081903    0.009267390
    0.801603206    0.074844655    0.074845277    0.009532566
    0.821643287    0.077702661    0.077703307    0.009800003
    0.841683367    0.080662022    0.080662692    0.010069781
    0.861723447    0.083730048    0.083730742    0.010341982
    0.881763527    0.086914734    0.086915455    0.010616688
    0.901803607    0.090224853    0.090225600    0.010893986
    0.921843687    0.093670052    0.093670827    0.011173963
    0.941883768    0.097260976    0.097261779    0.011456712
    0.961923848    0.101009407    0.101010239    0.011742324
    0.981963928    0.104928424    0.104929286    0.012030896
    1.002004008    0.109032605    0.109033499    0.012322526
    1.022044088    0.113338251    0.113339177    0.012617317
    1.042084168    0.117863665    0.117864624    0.012915372
    1.062124248    0.122629479    0.122630473    0.013216800
    1.082164329    0.127659058    0.127660088    0.013521713
    1.102204409    0.132978980    0.132980047    0.013830226
    1.122244489    0.138619634    0.138620739    0.014142457
    1.142284569    0.144615947    0.144617093    0.014458530
    1.162324649    0.151008298    0.151009484    0.014778572
    1.182364729    0.157843645    0.157844873    0.015102714
    1.202404810    0.165176968    0.165178240    0.015431092
    1.222444890    0.173073087    0.173074403    0.015763848
    1.242484970    0.181609013    0.181610375    0.016101127
    1.262525050    0.190876991    0.190878400    0.016443082
    1.282565130    0.200988507    0.200989963    0.016789869
    1.302605210    0.212079594    0.212081098    0.017141652
    1.322645291    0.224317981    0.224319533    0.017498601
    1.342685371    0.237912824    0.237914424    0.017860892
    1.362725451    0.253128152    0.253129797    0.018228710
    1.382765531    0.270301696    0.270303384    0.018602244
    1.402805611    0.289871698    0.289873426    0.018981695
    1.422845691    0.312415627    0.312417386    0.019367270
    1.442885772    0.338706980    0.338708762    0.019759186
    1.462925852    0.369799814    0.369801603    0.020157669
    1.482965932    0.407155952    0.407157728    0.020562955
    1.503006012    0.452837455    0.452839184    0.020975291
    1.523046092    0.509795370    0.509797005    0.021394936
    1.543086172    0.582286304    0.582287775    0.021822161
    1.563126253    0.676403951    0.676405156    0.022257249
