# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     8.767284667    8.767322770    9.063732849
    0.000000000    5.959674054    5.959705425    3.431673682
    0.020040080    5.959873325    5.959904698    3.431703726
    0.040080160    5.960471288    5.960502667    3.431793862
    0.060120240    5.961468389    5.961499776    3.431944110
    0.080160321    5.962865372    5.962896770    3.432154501
    0.100200401    5.964663283    5.964694696    3.432425078
    0.120240481    5.966863469    5.966894900    3.432755899
    0.140280561    5.969467585    5.969499037    3.433147031
    0.160320641    5.972477595    5.972509072    3.433598557
    0.180360721    5.975895779    5.975927284    3.434110571
    0.200400802    5.979724737    5.979756274    3.434683180
    0.220440882    5.983967398    5.983998969    3.435316504
    0.240480962    5.988627022    5.988658631    3.436010675
    0.260521042    5.993707216    5.993738867    3.436765840
    0.280561122    5.999211938    5.999243634    3.437582156
    0.300601202    6.005145507    6.005177252    3.438459798
    0.320641283    6.011512618    6.011544416    3.439398949
    0.340681363    6.018318352    6.018350206    3.440399809
    0.360721443    6.025568190    6.025600103    3.441462591
    0.380761523    6.033268029    6.033300006    3.442587520
    0.400801603    6.041424198    6.041456242    3.443774837
    0.420841683    6.050043476    6.050075591    3.445024796
    0.440881764    6.059133113    6.059165303    3.446337666
    0.460921844    6.068700848    6.068733117    3.447713730
    0.480961924    6.078754938    6.078787291    3.449153286
    0.501002004    6.089304180    6.089336619    3.450656645
    0.521042084    6.100357937    6.100390468    3.452224136
    0.541082164    6.111926174    6.111958801    3.453856102
    0.561122244    6.124019488    6.124052215    3.455552902
    0.581162325    6.136649143    6.136681974    3.457314909
    0.601202405    6.149827112    6.149860053    3.459142514
    0.621242485    6.163566120    6.163599175    3.461036125
    0.641282565    6.177879690    6.177912864    3.462996166
    0.661322645    6.192782198    6.192815496    3.465023077
    0.681362725    6.208288926    6.208322353    3.467117316
    0.701402806    6.224416128    6.224449688    3.469279360
    0.721442886    6.241181097    6.241214797    3.471509703
    0.741482966    6.258602243    6.258636087    3.473808859
    0.761523046    6.276699174    6.276733169    3.476177358
    0.781563126    6.295492793    6.295526944    3.478615752
    0.801603206    6.315005397    6.315039711    3.481124612
    0.821643287    6.335260795    6.335295277    3.483704530
    0.841683367    6.356284431    6.356319087    3.486356117
    0.861723447    6.378103530    6.378138367    3.489080009
    0.881763527    6.400747254    6.400782280    3.491876860
    0.901803607    6.424246884    6.424282105    3.494747348
    0.921843687    6.448636016    6.448671439    3.497692175
    0.941883768    6.473950789    6.473986421    3.500712066
    0.961923848    6.500230139    6.500265989    3.503807769
    0.981963928    6.527516092    6.527552167    3.506980061
    1.002004008    6.555854090    6.555890398    3.510229740
    1.022044088    6.585293371    6.585329920    3.513557634
    1.042084168    6.615887396    6.615924196    3.516964597
    1.062124248    6.647694351    6.647731410    3.520451512
    1.082164329    6.680777715    6.680815044    3.524019291
    1.102204409    6.715206929    6.715244537    3.527668875
    1.122244489    6.751058165    6.751096061    3.531401236
    1.142284569    6.788415229    6.788453425    3.535217381
    1.162324649    6.827370627    6.827409132    3.539118346
    1.182364729    6.868026805    6.868065631    3.543105205
    1.202404810    6.910497632    6.910536791    3.547179064
    1.222444890    6.954910154    6.954949657    3.551341068
    1.242484970    7.001406680    7.001446540    3.555592400
    1.262525050    7.050147287    7.050187516    3.559934282
